Gender,Age,Openness,Neuroticism,Conscientiousness,Agreeableness,Extraversion,Personality (Class label)
Female,20,1,5,1,7,8,Dependable
Male,22,3,5,8,4,6,Dependable
Female,27,8,6,7,9,1,Dependable
Male,24,9,9,2,5,7,Dependable
Female,31,5,3,4,6,7,Lively
Male,50,3,9,5,10,4,Extraverted
Female,22,5,2,10,8,1,Dependable
Male,50,7,5,8,5,2,Extraverted
Female,55,1,10,7,1,1,Serious
Male,39,9,6,10,7,1,Responsible
Female,39,8,4,4,6,1,Responsible
Male,63,7,5,7,5,1,Serious
Female,29,10,3,9,3,1,Responsible
Male,27,10,7,10,10,5,Dependable
Female,63,8,3,5,7,8,Serious
Male,53,7,2,3,1,7,Extraverted
Female,37,3,4,3,4,1,Lively
Male,33,4,6,1,10,7,Lively
Female,45,4,5,10,10,6,Extraverted
Male,31,1,7,10,9,2,Lively
Female,39,10,2,3,8,8,Responsible
Male,36,5,5,1,2,7,Lively
Female,22,6,4,9,8,8,Dependable
Male,18,2,6,10,5,10,Dependable
Female,63,7,4,3,3,6,Serious
Male,56,2,4,3,6,6,Serious
Female,50,5,10,8,4,2,Extraverted
Male,50,4,1,1,10,10,Extraverted
Female,57,6,9,7,6,2,Serious
Male,51,9,7,9,9,1,Extraverted
Female,55,2,10,9,8,7,Serious
Male,46,6,3,7,1,2,Extraverted
Female,51,1,7,3,4,9,Extraverted
Male,21,5,2,3,6,9,Dependable
Female,55,4,1,6,8,3,Serious
Male,64,4,1,10,1,9,Serious
Female,62,7,3,2,3,2,Serious
Male,45,1,8,6,10,3,Extraverted
Female,62,10,3,3,8,5,Serious
Male,51,5,3,10,9,7,Extraverted
Female,62,2,10,7,9,10,Serious
Male,35,7,7,8,3,1,Responsible
Female,61,4,10,9,4,4,Serious
Male,51,1,5,7,2,1,Extraverted
Female,46,10,7,2,8,4,Responsible
Male,35,10,4,5,2,9,Responsible
Female,24,7,10,4,1,7,Dependable
Male,37,6,2,10,7,2,Responsible
Female,46,2,1,2,1,9,Extraverted
Male,45,2,9,9,1,5,Extraverted
Female,20,6,7,1,3,6,Dependable
Male,50,5,1,10,5,1,Extraverted
Female,38,2,7,8,5,2,Lively
Male,23,3,3,10,5,10,Dependable
Female,60,10,2,2,3,10,Serious
Male,26,4,10,8,2,7,Dependable
Female,47,8,9,1,10,1,Extraverted
Male,35,8,4,8,9,2,Responsible
Female,50,4,6,1,7,8,Extraverted
Male,26,4,7,1,8,5,Dependable
Female,61,4,2,8,4,10,Serious
Male,20,8,9,4,9,3,Dependable
Female,57,6,4,2,9,6,Serious
Male,47,2,3,8,8,8,Extraverted
Female,47,10,2,4,2,1,Responsible
Male,46,7,9,2,1,1,Extraverted
Female,59,9,8,3,8,9,Serious
Male,57,9,9,9,6,2,Serious
Female,63,10,3,4,1,2,Serious
Male,35,2,3,3,5,3,Lively
Female,46,9,5,4,4,5,Extraverted
Male,61,8,7,7,3,10,Serious
Female,57,10,4,6,10,9,Serious
Male,32,4,1,7,4,1,Lively
Female,18,9,5,4,6,4,Dependable
Male,45,9,6,1,7,8,Responsible
Female,45,5,1,8,2,3,Extraverted
Male,36,5,5,4,1,10,Lively
Female,50,8,5,9,10,4,Extraverted
Male,42,10,9,8,4,8,Responsible
Female,30,8,1,6,6,10,Dependable
Male,39,2,6,8,9,9,Lively
Female,38,5,4,2,7,4,Responsible
Male,56,2,10,5,1,1,Serious
Female,45,10,6,5,8,1,Responsible
Male,19,3,6,2,8,5,Dependable
Female,41,1,6,5,9,1,Lively
Male,62,9,7,1,5,10,Serious
Female,38,10,2,10,1,6,Responsible
Male,20,2,10,4,3,5,Dependable
Female,48,8,6,3,8,9,Extraverted
Male,30,6,9,4,8,6,Dependable
Female,38,3,9,9,9,7,Lively
Male,64,8,1,1,10,8,Serious
Female,33,4,7,4,1,9,Lively
Male,30,4,9,7,5,3,Lively
Female,24,2,1,2,7,3,Dependable
Male,36,7,8,9,9,9,Responsible
Female,55,4,8,2,2,3,Serious
Male,56,2,4,5,6,1,Serious
Female,57,3,2,7,7,7,Serious
Male,61,7,2,6,2,2,Serious
Female,45,10,8,3,8,10,Responsible
Male,18,9,7,6,6,3,Dependable
Female,47,7,6,5,3,1,Extraverted
Male,37,10,6,7,5,6,Responsible
Female,47,7,4,2,1,1,Extraverted
Male,50,3,6,3,9,4,Extraverted
Female,42,5,6,2,9,9,Extraverted
Male,33,9,9,4,6,6,Responsible
Female,48,7,9,2,3,8,Extraverted
Male,30,3,4,6,9,7,Lively
Female,59,10,5,3,5,3,Serious
Male,57,8,1,3,8,4,Serious
Female,43,9,1,6,9,10,Responsible
Male,58,4,9,10,10,2,Serious
Female,25,2,2,3,2,8,Dependable
Male,26,2,6,9,10,10,Dependable
Female,63,8,1,4,3,6,Serious
Male,47,8,2,5,4,10,Extraverted
Female,19,7,2,3,5,8,Dependable
Male,49,5,5,9,6,1,Extraverted
Female,19,8,1,7,4,10,Dependable
Male,18,10,3,9,8,9,Dependable
Female,31,10,9,9,6,2,Responsible
Male,44,2,2,7,4,9,Extraverted
Female,45,3,9,5,9,10,Extraverted
Male,24,10,1,5,9,1,Dependable
Female,55,7,3,8,2,4,Serious
Male,60,1,8,2,5,1,Serious
Female,48,1,10,8,7,9,Extraverted
Male,40,9,4,7,2,1,Responsible
Female,42,7,5,9,10,7,Responsible
Male,28,9,3,6,6,3,Dependable
Female,44,1,4,4,2,2,Extraverted
Male,34,10,9,7,4,1,Responsible
Female,19,2,8,1,7,6,Dependable
Male,40,6,7,10,6,1,Responsible
Female,30,3,4,7,2,10,Lively
Male,31,6,4,6,4,4,Lively
Female,64,7,9,5,5,8,Serious
Male,39,8,3,7,10,3,Responsible
Female,39,7,10,9,8,8,Responsible
Male,60,10,1,7,2,7,Serious
Female,55,5,6,4,9,5,Serious
Male,52,10,10,5,1,2,Extraverted
Female,59,3,9,5,4,3,Serious
Male,35,3,3,3,9,4,Lively
Female,42,9,8,6,3,10,Responsible
Male,51,8,9,7,7,9,Extraverted
Female,31,5,7,9,9,7,Lively
Male,38,5,1,6,9,10,Lively
Female,48,2,9,9,10,2,Extraverted
Male,47,9,5,2,3,6,Extraverted
Female,51,3,1,2,5,4,Extraverted
Male,32,3,1,2,7,5,Lively
Female,38,2,7,6,7,9,Lively
Male,62,4,10,3,5,7,Serious
Female,34,10,10,4,7,5,Responsible
Male,63,1,10,1,6,8,Serious
Female,39,1,1,7,9,8,Lively
Male,25,4,1,8,6,3,Dependable
Female,21,6,5,3,6,2,Dependable
Male,41,10,5,5,10,3,Responsible
Female,22,4,10,6,1,7,Dependable
Male,31,7,2,10,8,10,Lively
Female,35,6,8,8,1,3,Responsible
Male,64,5,6,4,5,4,Serious
Female,58,3,2,6,5,5,Serious
Male,54,4,2,8,1,1,Serious
Female,41,5,4,3,8,3,Responsible
Male,27,1,2,9,6,1,Dependable
Female,49,2,10,5,5,2,Extraverted
Male,24,6,5,1,1,5,Dependable
Female,62,4,2,1,1,1,Serious
Male,33,8,6,5,3,1,Responsible
Female,24,3,3,8,4,1,Dependable
Male,61,5,4,4,7,8,Serious
Female,36,2,3,7,7,1,Lively
Male,59,8,7,9,1,1,Serious
Female,27,3,4,10,3,7,Dependable
Male,24,7,2,10,1,7,Dependable
Female,37,3,9,7,6,2,Lively
Male,41,6,4,10,1,6,Responsible
Female,46,1,2,5,7,4,Extraverted
Male,48,2,3,10,7,1,Extraverted
Female,43,9,10,4,7,6,Responsible
Male,39,5,8,6,1,8,Lively
Female,28,6,8,6,7,5,Dependable
Male,23,9,10,4,8,8,Dependable
Female,43,1,4,5,8,8,Extraverted
Male,29,3,5,1,1,7,Lively
Female,38,8,2,5,4,3,Responsible
Male,23,8,4,3,5,9,Dependable
Female,28,2,5,8,6,4,Lively
Male,56,8,9,7,5,3,Serious
Female,26,5,1,5,2,5,Dependable
Male,34,4,5,6,4,7,Lively
Female,40,8,1,4,3,10,Responsible
Male,37,5,9,8,9,7,Lively
Female,64,7,4,5,10,5,Serious
Male,45,4,2,9,5,4,Extraverted
Female,63,5,4,10,9,2,Serious
Male,61,8,4,4,10,8,Serious
Female,56,7,9,6,8,7,Serious
Male,40,1,10,3,5,4,Lively
Female,35,2,8,5,5,8,Lively
Male,61,9,9,5,4,7,Serious
Female,54,9,10,8,8,1,Serious
Male,22,2,1,1,8,1,Dependable
Female,60,3,7,2,5,6,Serious
Male,19,8,7,2,8,8,Dependable
Female,49,10,3,8,8,6,Extraverted
Male,34,2,10,9,5,1,Lively
Female,56,7,3,9,5,4,Serious
Male,51,8,6,2,5,7,Extraverted
Female,48,5,7,6,3,6,Extraverted
Male,28,7,7,8,9,9,Dependable
Female,35,4,9,7,4,3,Lively
Male,18,8,7,4,7,7,Dependable
Female,18,7,6,8,1,1,Dependable
Male,32,6,4,6,6,4,Lively
Female,30,6,3,3,5,2,Dependable
Male,63,8,4,10,3,5,Serious
Female,51,2,5,6,6,3,Extraverted
Male,30,2,7,7,2,3,Lively
Female,45,5,8,8,4,9,Extraverted
Male,19,10,10,6,6,5,Dependable
Female,44,10,3,4,2,6,Responsible
Male,19,1,10,9,7,2,Dependable
Female,24,10,5,2,8,7,Dependable
Male,61,8,5,10,3,8,Serious
Female,57,8,9,8,8,10,Serious
Male,38,3,8,2,6,2,Lively
Female,48,1,9,7,2,4,Extraverted
Male,58,2,6,9,2,3,Serious
Female,64,10,1,3,9,4,Serious
Male,32,8,7,7,6,9,Responsible
Female,19,8,7,6,2,3,Dependable
Male,58,10,6,2,6,3,Serious
Female,48,2,5,5,6,3,Extraverted
Male,58,10,9,1,1,1,Serious
Female,58,7,1,6,3,1,Serious
Male,49,2,10,4,7,10,Extraverted
Female,57,2,7,5,2,6,Serious
Male,18,8,6,1,4,5,Dependable
Female,29,5,5,2,5,3,Dependable
Male,38,9,9,1,8,2,Responsible
Female,18,4,3,5,1,6,Dependable
Male,59,10,5,8,3,3,Serious
Female,64,3,5,6,6,3,Serious
Male,24,1,4,7,10,1,Dependable
Female,20,2,5,8,5,5,Dependable
Male,47,8,4,5,4,9,Extraverted
Female,57,3,5,7,10,10,Serious
Male,27,3,2,2,2,1,Dependable
Female,43,3,3,2,2,1,Extraverted
Male,58,2,7,5,8,2,Serious
Female,26,3,7,2,10,1,Dependable
Male,34,9,6,9,2,5,Responsible
Female,26,9,2,10,6,1,Dependable
Male,36,10,9,2,1,7,Responsible
Female,48,6,9,3,4,5,Extraverted
Male,28,10,2,7,4,8,Dependable
Female,24,7,1,4,2,4,Dependable
Male,63,8,4,9,5,10,Serious
Female,53,10,10,7,10,8,Serious
Male,22,7,6,4,1,2,Dependable
Female,33,3,2,8,5,8,Lively
Male,28,5,10,10,8,9,Dependable
Female,20,10,9,6,6,6,Dependable
Male,24,4,2,6,9,2,Dependable
Female,40,6,5,3,4,1,Responsible
Male,42,7,3,5,3,10,Responsible
Female,26,10,6,4,8,8,Dependable
Male,34,9,7,4,2,9,Responsible
Female,53,10,2,7,7,3,Serious
Male,26,8,7,8,6,2,Dependable
Female,52,2,3,9,10,9,Extraverted
Male,58,7,2,8,3,4,Serious
Female,34,10,2,7,4,1,Responsible
Male,23,5,5,3,9,7,Dependable
Female,57,10,6,3,8,8,Serious
Male,42,8,6,1,10,1,Responsible
Female,39,9,3,7,1,6,Responsible
Male,50,2,6,10,8,2,Extraverted
Female,62,4,4,1,7,8,Serious
Male,60,4,4,4,2,2,Serious
Female,20,6,5,4,1,9,Dependable
Male,31,6,7,3,9,5,Lively
Female,18,7,3,8,10,7,Dependable
Male,58,7,9,7,5,1,Serious
Female,39,4,5,5,10,10,Lively
Male,52,10,1,2,2,6,Extraverted
Female,19,9,8,1,7,10,Dependable
Male,21,4,5,9,1,4,Dependable
Female,51,2,4,6,2,5,Extraverted
Male,20,5,3,8,8,3,Dependable
Female,36,6,6,5,6,5,Responsible
Male,44,9,6,8,1,7,Responsible
Female,35,6,2,1,1,6,Responsible
Male,22,8,7,1,3,4,Dependable
Female,60,10,2,3,4,1,Serious
Male,42,4,3,10,9,2,Extraverted
Female,54,8,8,9,7,3,Serious
Male,24,3,10,9,5,4,Dependable
Female,58,10,1,1,1,9,Serious
Male,49,5,8,3,2,1,Extraverted
Female,35,8,1,9,7,1,Responsible
Male,30,1,10,1,10,9,Lively
Female,20,3,10,6,10,4,Dependable
Male,60,9,9,2,9,2,Serious
Female,23,10,9,1,1,3,Dependable
Male,36,1,1,10,6,9,Lively
Female,60,10,6,10,9,9,Serious
Male,30,9,6,1,7,2,Responsible
Female,55,2,8,6,10,10,Extraverted
Male,36,10,6,3,5,3,Responsible
Female,28,8,5,5,5,9,Dependable
Male,40,8,3,8,7,8,Responsible
Female,42,4,8,9,6,9,Extraverted
Male,55,7,1,8,10,2,Serious
Female,58,10,10,7,3,3,Serious
Male,42,5,8,1,9,10,Extraverted
Female,64,5,3,8,6,6,Serious
Male,48,1,3,7,6,3,Extraverted
Female,21,4,2,3,5,5,Dependable
Male,47,4,9,2,5,3,Extraverted
Female,18,5,4,7,8,1,Dependable
Male,27,3,8,4,2,5,Dependable
Female,47,8,4,9,3,4,Extraverted
Male,33,8,8,1,3,2,Responsible
Female,42,1,6,7,6,10,Lively
Male,38,4,3,7,8,1,Lively
Female,55,7,10,3,7,3,Serious
Male,42,3,5,5,6,2,Lively
Female,30,8,8,8,10,7,Dependable
Male,63,6,7,8,9,1,Serious
Female,38,2,8,9,10,7,Lively
Male,44,4,2,9,7,10,Extraverted
Female,58,4,5,3,10,3,Serious
Male,49,5,3,9,3,5,Extraverted
Female,60,4,1,6,8,8,Serious
Male,61,7,7,2,3,1,Serious
Female,60,2,6,4,6,3,Serious
Male,49,5,10,9,4,1,Extraverted
Female,21,10,7,5,4,5,Dependable
Male,55,5,7,6,6,3,Serious
Female,31,7,2,3,5,3,Responsible
Male,63,10,6,9,2,9,Serious
Female,42,9,4,5,5,3,Responsible
Male,56,4,7,6,8,5,Serious
Female,55,7,2,2,7,7,Serious
Male,26,6,5,4,1,4,Dependable
Female,34,5,6,8,1,8,Lively
Male,43,2,2,8,8,5,Extraverted
Female,46,8,7,8,4,9,Extraverted
Male,50,10,5,5,2,1,Extraverted
Female,34,8,3,4,1,8,Responsible
Male,29,5,5,4,8,1,Dependable
Female,33,2,10,10,5,5,Lively
Male,51,6,3,9,8,4,Extraverted
Female,46,9,5,10,4,3,Responsible
Male,62,3,10,1,7,5,Serious
Female,33,2,1,1,8,8,Lively
Male,61,6,4,9,3,10,Serious
Female,44,7,7,7,1,3,Responsible
Male,48,6,3,4,6,1,Extraverted
Female,28,10,5,7,3,5,Dependable
Male,47,3,7,6,7,6,Extraverted
Female,29,9,3,2,6,5,Dependable
Male,22,4,6,2,5,7,Dependable
Female,22,4,5,4,10,6,Dependable
Male,29,4,2,4,3,4,Dependable
Female,35,2,5,8,2,7,Lively
Male,52,7,6,5,7,3,Extraverted
Female,25,7,4,1,9,6,Dependable
Male,47,2,6,3,9,5,Extraverted
Female,27,4,10,8,9,6,Dependable
Male,30,2,5,9,5,8,Lively
Female,47,3,2,7,4,2,Extraverted
Male,32,9,9,10,10,5,Responsible
Female,24,7,1,7,4,10,Dependable
Male,33,7,10,1,10,6,Responsible
Female,54,4,9,6,1,6,Extraverted
Male,39,10,4,6,1,1,Responsible
Female,35,6,9,3,8,3,Responsible
Male,33,4,6,4,1,3,Lively
Female,52,7,6,7,4,2,Extraverted
Male,46,6,1,2,10,3,Extraverted
Female,57,9,3,7,4,10,Serious
Male,22,5,2,10,9,10,Dependable
Female,18,7,1,5,8,7,Dependable
Male,56,6,3,9,1,8,Serious
Female,37,1,7,4,4,8,Lively
Male,62,10,4,5,8,7,Serious
Female,46,7,2,10,9,2,Extraverted
Male,49,3,6,10,6,9,Extraverted
Female,47,2,7,1,7,6,Extraverted
Male,33,9,8,7,8,3,Responsible
Female,59,5,3,2,4,9,Serious
Male,56,8,3,3,3,6,Serious
Female,40,5,6,8,4,1,Responsible
Male,55,9,6,9,7,1,Serious
Female,29,8,2,4,10,5,Dependable
Male,41,3,1,10,7,3,Lively
Female,44,5,3,10,10,5,Extraverted
Male,25,5,1,9,5,5,Dependable
Female,56,5,7,3,1,1,Serious
Male,26,8,8,9,4,8,Dependable
Female,64,7,1,6,7,10,Serious
Male,42,4,9,1,9,6,Extraverted
Female,47,5,6,7,5,3,Extraverted
Male,19,7,9,9,6,8,Dependable
Female,50,5,7,6,6,10,Extraverted
Male,39,10,4,1,10,2,Responsible
Female,27,8,5,9,9,9,Dependable
Male,35,6,10,5,7,2,Responsible
Female,26,6,1,2,10,7,Dependable
Male,36,3,9,9,1,4,Lively
Female,62,2,6,9,1,8,Serious
Male,39,3,8,6,10,10,Lively
Female,58,10,7,7,8,3,Serious
Male,50,2,8,3,9,5,Extraverted
Female,36,6,8,9,3,1,Responsible
Male,52,3,7,2,5,8,Extraverted
Female,47,4,2,1,7,2,Extraverted
Male,25,7,5,5,6,4,Dependable
Female,46,3,2,1,6,6,Extraverted
Male,20,2,1,2,10,4,Dependable
Female,19,10,6,4,9,8,Dependable
Male,53,2,9,10,1,7,Extraverted
Female,62,5,4,2,4,3,Serious
Male,64,3,9,4,4,3,Serious
Female,48,4,9,6,5,1,Extraverted
Male,20,8,8,7,6,9,Dependable
Female,36,1,7,2,1,8,Lively
Male,29,8,5,6,9,7,Dependable
Female,36,5,6,5,2,8,Lively
Male,27,4,9,1,8,4,Dependable
Female,27,8,10,1,2,10,Dependable
Male,64,4,4,3,8,7,Serious
Female,60,3,6,1,6,6,Serious
Male,31,6,2,5,6,5,Lively
Female,34,10,9,7,3,4,Responsible
Male,23,1,2,1,10,2,Dependable
Female,48,1,1,7,9,8,Extraverted
Male,45,2,2,3,4,3,Extraverted
Female,35,3,9,5,10,5,Lively
Male,41,7,7,10,8,9,Responsible
Female,53,8,1,3,9,2,Serious
Male,27,5,8,9,4,8,Dependable
Female,22,7,6,6,4,2,Dependable
Male,27,4,10,9,4,10,Dependable
Female,25,10,9,7,2,6,Dependable
Male,55,4,6,2,7,3,Serious
Female,20,1,4,3,9,6,Dependable
Male,21,7,4,1,5,7,Dependable
Female,23,4,8,3,9,7,Dependable
Male,53,5,1,8,1,5,Extraverted
Female,55,8,6,9,6,5,Serious
Male,47,8,4,3,8,5,Extraverted
Female,21,10,1,5,10,6,Dependable
Male,29,1,9,10,3,2,Lively
Female,31,5,10,8,6,4,Lively
Male,39,10,9,4,6,6,Responsible
Female,43,4,1,1,9,1,Extraverted
Male,47,8,10,1,5,7,Extraverted
Female,60,1,10,3,7,8,Serious
Male,33,3,6,3,10,10,Lively
Female,43,9,4,8,7,4,Responsible
Male,55,7,1,7,6,5,Serious
Female,34,3,5,5,9,2,Lively
Male,30,3,3,4,9,10,Lively
Female,24,3,7,3,7,6,Dependable
Male,24,1,1,5,7,2,Dependable
Female,53,10,5,3,5,1,Serious
Male,64,4,4,8,10,6,Serious
Female,47,8,9,4,4,9,Extraverted
Male,33,6,6,7,9,2,Lively
Female,24,1,6,5,4,10,Dependable
Male,44,2,9,7,7,5,Extraverted
Female,56,8,2,8,7,6,Serious
Male,42,10,9,8,3,10,Responsible
Female,24,9,7,5,5,10,Dependable
Male,38,10,6,2,2,1,Responsible
Female,38,8,9,4,1,9,Responsible
Male,19,4,4,10,8,6,Dependable
Female,22,5,6,5,3,3,Dependable
Male,28,4,8,6,10,2,Dependable
Female,59,5,7,4,7,10,Serious
Male,55,8,4,10,2,2,Serious
Female,31,4,6,1,9,9,Lively
Male,39,2,10,1,4,6,Lively
Female,49,7,4,9,9,7,Extraverted
Male,51,4,1,7,5,10,Extraverted
Female,61,5,2,7,4,1,Serious
Male,48,8,9,10,10,6,Extraverted
Female,33,8,3,4,3,7,Responsible
Male,53,5,10,1,7,2,Extraverted
Female,44,9,10,2,6,2,Responsible
Male,50,2,4,9,6,3,Extraverted
Female,42,4,9,3,8,2,Extraverted
Male,49,4,10,8,2,2,Extraverted
Female,24,4,1,3,1,4,Dependable
Male,44,7,10,10,3,3,Responsible
Female,46,6,8,2,8,10,Extraverted
Male,50,3,7,2,5,1,Extraverted
Female,58,10,10,1,8,3,Serious
Male,32,6,7,7,3,2,Lively
Female,47,1,3,8,5,3,Extraverted
Male,46,4,3,1,4,1,Extraverted
Female,30,6,1,10,7,2,Dependable
Male,61,10,5,8,5,8,Serious
Female,58,1,4,1,10,1,Serious
Male,50,3,1,4,7,2,Extraverted
Female,47,6,10,7,9,10,Extraverted
Male,63,4,3,8,1,8,Serious
Female,43,10,9,1,1,1,Responsible
Male,53,8,7,2,2,10,Extraverted
Female,58,1,8,1,1,2,Serious
Male,52,8,7,1,4,3,Extraverted
Female,22,4,4,2,7,10,Dependable
Male,23,4,9,10,6,10,Dependable
Female,61,8,1,4,6,4,Serious
Male,59,6,5,4,10,5,Serious
Female,19,4,7,9,1,6,Dependable
Male,45,3,6,2,3,8,Extraverted
Female,51,8,8,4,5,7,Extraverted
Male,35,8,9,2,7,2,Responsible
Female,31,2,2,9,10,4,Lively
Male,37,9,5,6,8,8,Responsible
Female,24,9,4,2,7,2,Dependable
Male,52,2,2,5,7,4,Extraverted
Female,42,7,3,2,9,6,Responsible
Male,31,2,4,4,5,6,Lively
Female,30,6,9,10,7,4,Lively
Male,25,3,9,5,1,7,Dependable
Female,62,4,5,10,6,1,Serious
Male,23,2,3,2,8,5,Dependable
Female,27,8,2,2,6,5,Dependable
Male,45,2,7,8,6,8,Extraverted
Female,37,8,1,8,4,4,Responsible
Male,53,10,4,1,10,4,Serious
Female,46,7,8,6,4,8,Extraverted
Male,26,6,9,10,7,4,Dependable
Female,39,8,7,6,8,9,Responsible
Male,21,9,7,5,1,6,Dependable
Female,60,7,8,2,2,4,Serious
Male,50,3,10,3,3,7,Extraverted
Female,20,3,7,2,4,10,Dependable
Male,53,9,6,1,8,7,Serious
Female,42,5,7,7,9,5,Extraverted
Male,29,5,9,6,9,8,Dependable
Female,33,4,7,7,5,10,Lively
Male,41,9,6,8,3,10,Responsible
Female,33,1,5,4,9,4,Lively
Male,62,7,1,5,3,6,Serious
Female,29,1,1,7,7,9,Lively
Male,50,4,7,1,6,9,Extraverted
Female,41,2,10,10,9,2,Lively
Male,39,6,5,10,5,7,Responsible
Female,49,10,10,7,7,10,Extraverted
Male,56,9,9,2,1,9,Serious
Female,18,5,9,5,1,8,Dependable
Male,53,4,10,7,7,1,Extraverted
Female,60,2,2,10,3,6,Serious
Male,63,10,2,2,10,10,Serious
Female,24,7,9,7,4,7,Dependable
Male,28,9,5,9,8,9,Dependable
Female,47,9,5,6,9,4,Extraverted
Male,53,2,2,6,1,6,Extraverted
Female,28,2,7,2,4,7,Lively
Male,30,3,5,9,10,7,Lively
Female,22,5,1,4,2,3,Dependable
Male,38,10,3,4,9,6,Responsible
Female,51,10,9,10,6,9,Extraverted
Male,47,3,9,10,8,7,Extraverted
Female,51,1,10,2,10,4,Extraverted
Male,36,7,2,2,9,1,Responsible
Female,62,7,5,2,8,8,Serious
Male,39,10,1,7,2,3,Responsible
Female,22,5,8,9,3,1,Dependable
Male,37,7,4,7,10,10,Responsible
Female,60,3,7,2,4,3,Serious
Male,27,4,6,10,5,3,Dependable
Female,26,2,9,5,9,5,Dependable
Male,24,8,7,2,4,6,Dependable
Female,64,2,7,6,8,3,Serious
Male,33,5,3,9,2,4,Lively
Female,36,1,10,4,1,7,Lively
Male,60,5,5,2,10,10,Serious
Female,37,3,10,5,6,3,Lively
Male,31,4,8,7,5,10,Lively
Female,24,5,8,6,4,7,Dependable
Male,46,9,8,1,5,9,Extraverted
Female,46,2,9,9,4,9,Extraverted
Male,37,4,2,1,9,9,Lively
Female,33,6,6,5,7,7,Lively
Male,23,4,10,6,7,10,Dependable
Female,52,8,9,8,3,2,Extraverted
Male,19,7,7,3,7,3,Dependable
Female,55,4,9,1,4,6,Serious
Male,58,3,1,5,4,10,Serious
Female,23,1,5,5,5,6,Dependable
Male,21,2,7,2,1,4,Dependable
Female,39,6,2,4,6,10,Responsible
Male,50,3,3,8,4,9,Extraverted
Female,48,6,7,6,3,10,Extraverted
Male,45,3,6,1,2,8,Extraverted
Female,38,8,5,2,8,4,Responsible
Male,34,1,6,9,2,7,Lively
Female,62,9,9,8,10,2,Serious
Male,29,5,9,5,7,4,Dependable
Female,47,6,5,9,10,10,Extraverted
Male,39,6,7,8,6,9,Responsible
Female,40,9,3,4,4,5,Responsible
Male,59,2,1,2,6,4,Serious
Female,60,6,10,2,2,2,Serious
Male,34,1,4,6,4,7,Lively
Female,38,7,9,4,1,7,Responsible
Male,49,9,5,5,3,10,Extraverted
Female,49,7,1,3,1,1,Extraverted
Male,22,2,4,7,6,6,Dependable
Female,18,2,5,2,4,7,Dependable
Male,63,9,2,3,2,3,Serious
Female,38,10,3,7,5,5,Responsible
Male,28,7,1,7,5,3,Dependable
Female,30,10,3,8,5,8,Responsible
Male,18,4,4,6,7,2,Dependable
Female,60,6,1,4,10,8,Serious
Male,42,3,4,8,7,1,Lively
Female,49,3,9,6,6,4,Extraverted
Male,49,7,9,5,2,5,Extraverted
Female,24,7,8,4,6,1,Dependable
Male,36,9,10,6,1,2,Responsible
Female,33,7,1,5,5,6,Responsible
Male,63,3,5,9,1,1,Serious
Female,25,7,6,7,8,6,Dependable
Male,43,9,10,5,10,2,Responsible
Female,24,6,5,6,3,3,Dependable
Male,18,1,6,8,4,1,Dependable
Female,55,10,7,1,6,3,Serious
Male,27,3,6,4,10,5,Dependable
Female,44,9,6,10,2,3,Responsible
Male,30,5,10,1,1,4,Lively
Female,21,1,10,10,9,2,Dependable
Male,53,9,2,7,7,3,Serious
Female,62,6,8,2,5,8,Serious
Male,45,6,4,6,6,3,Extraverted
Female,55,10,6,2,9,5,Serious
Male,51,4,7,1,5,10,Extraverted
Female,38,9,10,3,6,1,Responsible
Male,21,7,3,3,4,9,Dependable
Female,39,5,8,2,6,1,Responsible
Male,56,3,8,6,10,7,Serious
Female,36,7,10,2,1,4,Responsible
Male,23,2,4,9,10,3,Dependable
Female,62,3,10,9,3,6,Serious
Male,40,1,3,1,3,2,Lively
Female,24,6,9,9,3,9,Dependable
Male,56,7,7,8,9,3,Serious
Female,25,1,6,6,2,2,Dependable
Male,33,3,10,2,8,4,Lively
Female,41,8,1,7,5,7,Responsible
Male,63,8,1,10,10,10,Serious
Female,21,9,9,4,3,10,Dependable
Male,21,1,4,2,10,10,Dependable
Female,63,8,6,4,4,2,Serious
Male,31,8,8,4,8,4,Responsible
Female,40,4,5,9,5,6,Lively
Male,38,10,3,6,9,7,Responsible
Female,43,5,6,8,8,8,Extraverted
Male,35,3,9,5,5,9,Lively
Female,52,1,5,10,5,2,Extraverted
Male,25,5,9,2,3,2,Dependable
Female,20,10,5,6,8,8,Dependable
Male,47,4,1,10,1,8,Extraverted
Female,49,3,7,6,2,3,Extraverted
Male,43,10,7,4,1,8,Responsible
Female,60,6,5,10,8,10,Serious
Male,26,2,1,10,10,4,Dependable
Female,58,2,2,4,6,4,Serious
Male,55,2,2,7,4,7,Serious
Female,59,7,8,2,2,2,Serious
Male,47,2,8,9,7,5,Extraverted
Female,57,10,3,7,7,9,Serious
Male,23,7,3,8,1,6,Dependable
Female,33,6,9,2,8,2,Responsible
Male,36,5,9,6,5,1,Lively
Female,40,1,2,7,9,6,Lively
Male,18,3,10,5,7,1,Dependable
Female,47,3,8,1,3,3,Extraverted
Male,64,10,1,7,9,7,Serious
Female,26,8,8,6,4,8,Dependable
Male,64,2,2,2,5,6,Serious
Female,37,10,10,8,4,2,Responsible
Male,60,6,7,6,10,9,Serious
Female,24,10,10,8,1,1,Dependable
Male,54,7,8,9,8,8,Serious
Female,49,1,9,1,4,9,Extraverted
Male,59,7,10,4,8,3,Serious
Female,61,10,10,3,7,3,Serious
